county_fips,mrp_ideology_mean,mrp_sd,mrp_lower,mrp_upper,raw_ideology_mean,sample_size,abb,state_fips,county_name,population_2010,state,obama_pc_t2012,romney_pct_2012,other_pct_2012,obama_pct_2008,mccain_pct_2008,other_pct_2008
1001,0.370906633,0.16360877,0.056354859,0.670119599,0.238509887,40,AL,1,"Autauga County, Alabama",54571,Alabama,0.265878322,0.726182517,0.007939161,0.257730214,0.736136373,0.006133412
1003,0.576409442,0.096013606,0.374381617,0.752096202,0.571159721,158,AL,1,"Baldwin County, Alabama",182265,Alabama,0.215894443,0.773582695,0.010522862,0.238119219,0.752594794,0.009285986
1005,0.484271735,0.197121126,0.11270298,0.84712815,0.879485342,14,AL,1,"Barbour County, Alabama",27457,Alabama,0.513684942,0.482231297,0.004083761,0.489853826,0.504385211,0.005760963
1007,0.482132155,0.207635423,0.102472349,0.925766432,0.421476941,13,AL,1,"Bibb County, Alabama",22915,Alabama,0.26152019,0.728266033,0.010213777,0.265964831,0.724433133,0.009602036
1009,0.626223148,0.173427399,0.298316611,0.981713742,0.486477147,33,AL,1,"Blount County, Alabama",57322,Alabama,0.12371907,0.864658835,0.011622094,0.145135369,0.840194503,0.014670128
1011,0.198800972,0.225216124,-0.254182615,0.667682632,0.462331028,5,AL,1,"Bullock County, Alabama",10914,Alabama,0.763059,0.235062007,0.001878993,0.740720222,0.25687904,0.002400739
1013,0.323139402,0.198918456,-0.048550804,0.701408618,0.385817384,16,AL,1,"Butler County, Alabama",20947,Alabama,0.460614996,0.535699242,0.003685762,0.431352353,0.564939747,0.0037079
1015,0.300429029,0.121189601,0.055544083,0.520447241,0.069097445,104,AL,1,"Calhoun County, Alabama",118572,Alabama,0.335322222,0.654560391,0.010117388,0.331708704,0.65691889,0.011372406
1017,0.525232438,0.178309101,0.194868354,0.845836747,0.601774066,30,AL,1,"Chambers County, Alabama",34215,Alabama,0.470262131,0.521935528,0.007802341,0.45460016,0.539382188,0.006017652
1019,0.430937018,0.211005689,-0.110557789,0.806388109,0.047003507,18,AL,1,"Cherokee County, Alabama",25989,Alabama,0.218018202,0.767563146,0.014418652,0.236634171,0.74889687,0.014468958
1021,0.337002712,0.215567472,-0.07351258,0.763121891,-0.051691771,9,AL,1,"Chilton County, Alabama",43643,Alabama,0.194536708,0.797846753,0.007616539,0.206578577,0.784931122,0.008490301
1023,0.417694372,0.227196033,-0.030026536,0.832725988,0.509746926,5,AL,1,"Choctaw County, Alabama",13859,Alabama,0.475150602,0.521084337,0.00376506,0.46060299,0.534963263,0.004433747
1025,0.374087555,0.217114344,-0.027487288,0.806193089,0.546777294,9,AL,1,"Clarke County, Alabama",25833,Alabama,0.457295502,0.539311241,0.003393257,0.440193524,0.555712691,0.004093785
1027,0.486606059,0.218721154,0.04975588,0.88889319,0.513715864,8,AL,1,"Clay County, Alabama",13932,Alabama,0.266736716,0.723056139,0.010207145,0.258102361,0.730898959,0.01099868
1029,0.692201697,0.233103988,0.223679516,1.12453919,1.213792831,4,AL,1,"Cleburne County, Alabama",14972,Alabama,0.154004758,0.836161776,0.009833466,0.17991374,0.8034504,0.01663586
1031,0.502227308,0.157506326,0.191745146,0.800413287,0.529085854,38,AL,1,"Coffee County, Alabama",49948,Alabama,0.24911482,0.741831057,0.009054122,0.252335056,0.74120628,0.006458665
1033,0.494773907,0.168096757,0.159981325,0.836020742,0.529358343,36,AL,1,"Colbert County, Alabama",54428,Alabama,0.391960659,0.595937567,0.012101775,0.390572797,0.593285835,0.016141368
1035,0.388301417,0.228332347,-0.065584685,0.818780523,1.386062016,4,AL,1,"Conecuh County, Alabama",13228,Alabama,0.506266021,0.489746511,0.003987468,0.493878727,0.499783955,0.006337318
1037,0.364929354,0.229425321,-0.141147231,0.812897067,0.106484913,4,AL,1,"Coosa County, Alabama",11539,Alabama,0.41582843,0.578667679,0.005503891,0.408592486,0.583857631,0.007549883
1039,0.575116874,0.209133395,0.151722475,0.982027996,0.622501951,12,AL,1,"Covington County, Alabama",37765,Alabama,0.204759126,0.787978992,0.007261882,0.205232153,0.788243491,0.006524355
1041,0.65108243,0.225509955,0.240203546,1.112915752,1.253742947,9,AL,1,"Crenshaw County, Alabama",13906,Alabama,0.319414148,0.674820816,0.005765036,0.308059132,0.686536322,0.005404546
1043,0.771837775,0.132195889,0.525035899,1.019675051,0.758684119,80,AL,1,"Cullman County, Alabama",80406,Alabama,0.146617523,0.841599675,0.011782802,0.166095454,0.818467639,0.015436907
1045,0.499768248,0.154005075,0.197525315,0.761788721,0.56125779,42,AL,1,"Dale County, Alabama",50251,Alabama,0.284852077,0.706364175,0.008783747,0.272774327,0.71873706,0.008488613
1047,0.045752383,0.159534976,-0.248192659,0.342126538,-0.34179845,38,AL,1,"Dallas County, Alabama",43820,Alabama,0.697370305,0.300100224,0.002529471,0.670727029,0.326011893,0.003261078
1049,0.570893234,0.150181674,0.247138326,0.864278563,0.483668254,48,AL,1,"DeKalb County, Alabama",71109,Alabama,0.219544902,0.768176675,0.012278423,0.235602748,0.747740995,0.016656257
1051,0.653573293,0.136195961,0.387083444,0.929650884,0.653443194,74,AL,1,"Elmore County, Alabama",79303,Alabama,0.252331971,0.739833733,0.007834296,0.241905872,0.751187527,0.006906601
1053,0.372962396,0.167063296,0.029688758,0.694670593,0.232948218,33,AL,1,"Escambia County, Alabama",38319,Alabama,0.369157307,0.624588069,0.006254624,0.353550497,0.638885103,0.0075644
1055,0.558540516,0.121250834,0.311561589,0.793583544,0.459122888,92,AL,1,"Etowah County, Alabama",104430,Alabama,0.301034564,0.684928286,0.01403715,0.301696582,0.683885822,0.014417596
1057,0.586404344,0.230034753,0.159172805,1.03168767,0.17496405,9,AL,1,"Fayette County, Alabama",17241,Alabama,0.228668512,0.761892776,0.009438711,0.250596959,0.739349001,0.01005404
1059,0.437687397,0.228568555,0.015979521,1.018461654,0.274819117,11,AL,1,"Franklin County, Alabama",31704,Alabama,0.292015839,0.69684133,0.011142831,0.296673223,0.688275036,0.01505174
