geo_id,percent_white,num_white,total_pop,fixed_fip,county_state,unemploy_white,unemploy_20_65,unemploy_all,state_fips,county_fips,white_unem_inlf,white_inlf
0500000US31033,90.2,9060,10044,31033,"Cheyenne County, Nebraska",2.0,2.6,2.6,31,033,103.0,5213.0
0500000US31047,62.1,15038,24205,31047,"Dawson County, Nebraska",3.6,4.8,5.8,31,047,295.0,8222.0
0500000US31071,98.1,1917,1954,31071,"Garfield County, Nebraska",5.0,5.7,4.9,31,071,48.0,963.0
0500000US31117,98.1,418,426,31117,"McPherson County, Nebraska",1.5,1.6,1.5,31,117,3.0,202.0
0500000US31125,97.3,3569,3667,31125,"Nance County, Nebraska",3.5,3.7,3.5,31,125,66.0,1866.0
0500000US31167,92.9,5679,6112,31167,"Stanton County, Nebraska",2.4,2.1,2.6,31,167,76.0,3118.0
0500000US31175,97.1,4147,4269,31175,"Valley County, Nebraska",1.3,1.2,1.2,31,175,28.0,2222.0
0500000US32001,75.1,18294,24347,32001,"Churchill County, Nevada",13.5,12.0,12.9,32,001,1117.0,8822.0
0500000US32005,81.9,38624,47135,32005,"Douglas County, Nevada",8.3,8.1,9.5,32,005,1538.0,18738.0
0500000US32027,67.3,4534,6741,32027,"Pershing County, Nevada",11.9,11.0,11.5,32,027,229.0,1921.0
0500000US32011,94.5,1665,1761,32011,"Eureka County, Nevada",4.3,4.5,4.0,32,011,37.0,870.0
0500000US32013,67.2,11419,17003,32013,"Humboldt County, Nevada",7.3,8.4,10.0,32,013,438.0,5985.0
0500000US32033,74.8,7509,10043,32033,"White Pine County, Nevada",9.0,5.7,10.6,32,033,321.0,3570.0
0500000US32007,68.0,34654,50991,32007,"Elko County, Nevada",4.5,4.9,5.3,32,007,863.0,19092.0
0500000US32023,77.9,33469,42938,32023,"Nye County, Nevada",15.9,15.7,15.3,32,023,2019.0,12732.0
0500000US32029,91.0,3579,3934,32029,"Storey County, Nevada",11.0,12.5,13.0,32,029,209.0,1901.0
0500000US32003,46.5,931696,2003613,32003,"Clark County, Nevada",10.8,11.3,12.1,32,003,53509.0,501377.0
0500000US32019,77.1,39785,51579,32019,"Lyon County, Nevada",14.8,15.1,15.6,32,019,2687.0,18169.0
0500000US33005,94.9,72673,76596,33005,"Cheshire County, New Hampshire",7.9,6.7,7.9,33,005,3242.0,40940.0
0500000US33009,91.7,81945,89360,33009,"Grafton County, New Hampshire",5.3,4.7,5.3,33,009,2336.0,44018.0
0500000US33015,93.7,278950,297702,33015,"Rockingham County, New Hampshire",6.1,5.4,6.2,33,015,9971.0,164740.0
0500000US33019,95.6,41392,43291,33019,"Sullivan County, New Hampshire",6.7,5.9,6.7,33,019,1521.0,22575.0
0500000US33011,86.8,349690,402776,33011,"Hillsborough County, New Hampshire",6.3,6.1,6.7,33,011,12746.0,203286.0
0500000US33007,95.6,30777,32202,33007,"Coos County, New Hampshire",7.1,6.8,7.4,33,007,1114.0,15789.0
0500000US33003,96.4,45902,47623,33003,"Carroll County, New Hampshire",5.9,5.4,6.3,33,003,1397.0,23607.0
0500000US34021,52.9,195590,369526,34021,"Mercer County, New Jersey",7.9,9.7,10.4,34,021,8636.0,108834.0
0500000US34011,49.0,77180,157429,34011,"Cumberland County, New Jersey",10.7,12.2,13.3,34,011,4150.0,38652.0
0500000US34035,60.3,198187,328704,34035,"Somerset County, New Jersey",6.2,6.2,6.5,34,035,6809.0,109395.0
0500000US31035,89.7,5765,6425,31035,"Clay County, Nebraska",3.3,3.0,3.7,31,035,99.0,3041.0
0500000US31041,95.9,10374,10820,31041,"Custer County, Nebraska",1.9,1.8,2.1,31,041,104.0,5592.0
0500000US31061,97.1,3068,3161,31061,"Franklin County, Nebraska",3.7,3.8,3.9,31,061,59.0,1581.0
0500000US31081,96.1,8742,9098,31081,"Hamilton County, Nebraska",2.7,2.7,2.8,31,081,126.0,4730.0
0500000US31095,94.9,7121,7505,31095,"Jefferson County, Nebraska",5.9,6.2,6.2,31,095,228.0,3838.0
0500000US31101,91.7,7524,8206,31101,"Keith County, Nebraska",3.3,3.0,3.5,31,101,133.0,4083.0
0500000US31115,93.6,523,559,31115,"Loup County, Nebraska",0.0,0.0,0.0,31,115,0.0,302.0
0500000US31135,95.6,2809,2938,31135,"Perkins County, Nebraska",1.6,1.2,1.6,31,135,24.0,1462.0
0500000US31155,96.0,20032,20867,31155,"Saunders County, Nebraska",3.6,3.3,3.6,31,155,383.0,10698.0
0500000US31157,74.4,27420,36844,31157,"Scotts Bluff County, Nebraska",4.9,5.4,5.9,31,157,737.0,14920.0
0500000US31103,98.8,732,741,31103,"Keya Paha County, Nebraska",0.2,0.0,0.2,31,103,1.0,482.0
0500000US31105,89.7,3372,3760,31105,"Kimball County, Nebraska",5.9,6.9,6.1,31,105,103.0,1743.0
0500000US31111,89.2,32164,36054,31111,"Lincoln County, Nebraska",4.4,4.0,4.7,31,111,745.0,16788.0
0500000US31139,97.3,7006,7201,31139,"Pierce County, Nebraska",4.6,3.0,4.7,31,139,175.0,3774.0
0500000US31165,92.9,1188,1279,31165,"Sioux County, Nebraska",1.2,1.9,1.6,31,165,8.0,650.0
0500000US31021,94.1,6297,6690,31021,"Burt County, Nebraska",2.3,2.6,2.4,31,021,70.0,3054.0
0500000US31025,94.8,24006,25315,31025,"Cass County, Nebraska",4.6,3.6,4.4,31,025,596.0,13270.0
0500000US31039,89.4,8122,9081,31039,"Cuming County, Nebraska",2.3,2.4,2.7,31,039,104.0,4476.0
0500000US31051,86.8,5123,5900,31051,"Dixon County, Nebraska",4.1,5.0,5.2,31,051,111.0,2712.0
0500000US31057,92.6,1821,1966,31057,"Dundy County, Nebraska",4.1,3.8,4.2,31,057,39.0,944.0
0500000US31075,98.0,636,649,31075,"Grant County, Nebraska",3.7,4.5,3.6,31,075,13.0,349.0
0500000US31077,96.5,2412,2500,31077,"Greeley County, Nebraska",2.9,3.3,2.8,31,077,33.0,1147.0
0500000US31079,70.5,42478,60223,31079,"Hall County, Nebraska",4.2,5.9,6.4,31,079,1022.0,24358.0
0500000US31085,94.4,1081,1145,31085,"Hayes County, Nebraska",1.8,2.1,2.0,31,085,11.0,599.0
0500000US31131,91.1,14356,15750,31131,"Otoe County, Nebraska",4.0,4.9,5.2,31,131,316.0,7900.0
0500000US31145,92.7,10194,10993,31145,"Red Willow County, Nebraska",6.0,4.9,5.7,31,145,340.0,5621.0
0500000US31027,97.4,8511,8736,31027,"Cedar County, Nebraska",2.5,1.9,2.5,31,027,110.0,4487.0
0500000US31045,86.6,7916,9141,31045,"Dawes County, Nebraska",3.0,2.7,3.1,31,045,127.0,4210.0
0500000US31097,81.8,4234,5178,31097,"Johnson County, Nebraska",3.1,3.0,3.9,31,097,61.0,1993.0
0500000US46027,89.3,12470,13968,46027,"Clay County, South Dakota",6.8,6.2,7.8,46,027,473.0,6930.0
0500000US46037,87.1,4931,5664,46037,"Day County, South Dakota",3.3,5.4,4.9,46,037,82.0,2492.0
0500000US46043,95.3,2850,2990,46043,"Douglas County, South Dakota",0.7,1.1,1.0,46,043,10.0,1513.0
0500000US46065,83.2,14453,17379,46065,"Hughes County, South Dakota",1.0,1.4,2.5,46,065,87.0,8737.0
0500000US46089,91.6,2200,2401,46089,"McPherson County, South Dakota",1.6,5.9,5.4,46,089,16.0,1001.0
0500000US46111,98.0,2294,2341,46111,"Sanborn County, South Dakota",3.8,2.9,3.7,46,111,49.0,1289.0
0500000US46119,96.0,1403,1461,46119,"Sully County, South Dakota",1.8,0.4,2.5,46,119,14.0,800.0
0500000US46059,98.6,3298,3344,46059,"Hand County, South Dakota",2.9,3.0,2.9,46,059,49.0,1675.0
0500000US46079,94.5,11185,11831,46079,"Lake County, South Dakota",3.7,3.2,4.0,46,079,235.0,6369.0
0500000US46135,90.6,20456,22580,46135,"Yankton County, South Dakota",3.1,2.3,3.2,46,135,342.0,11018.0
0500000US46029,93.9,25908,27598,46029,"Codington County, South Dakota",3.5,3.3,3.7,46,029,528.0,15005.0
0500000US46019,92.0,9440,10259,46019,"Butte County, South Dakota",2.7,3.1,3.6,46,019,128.0,4801.0
0500000US46031,30.6,1260,4122,46031,"Corson County, South Dakota",3.9,28.2,27.9,46,031,26.0,663.0
0500000US46045,97.9,3951,4036,46045,"Edmunds County, South Dakota",1.4,0.4,1.4,46,045,31.0,2145.0
0500000US46021,93.6,1348,1440,46021,"Campbell County, South Dakota",1.5,0.9,1.4,46,021,10.0,686.0
