geo_id,percent_white,num_white,total_pop,fixed_fip,county_state,unemploy_white,unemploy_20_65,unemploy_all,state_fips,county_fips
0500000US13155,70.5,6796,9642,13155,"Irwin County, Georgia",9.1,8.9,11.2,13,155
0500000US13157,83.9,48956,58347,13157,"Jackson County, Georgia",6.2,5.2,6.3,13,157
0500000US13159,72.4,9921,13695,13159,"Jasper County, Georgia",7.8,10.0,11.2,13,159
0500000US13161,74.4,10828,14558,13161,"Jeff Davis County, Georgia",4.0,4.9,6.2,13,161
0500000US13163,41.3,6988,16919,13163,"Jefferson County, Georgia",7.7,12.1,12.8,13,163
0500000US13165,57.4,4820,8400,13165,"Jenkins County, Georgia",9.5,9.7,12.5,13,165
0500000US13167,61.8,6155,9967,13167,"Johnson County, Georgia",5.0,5.6,6.8,13,167
0500000US13169,72.6,20553,28292,13169,"Jones County, Georgia",5.4,4.8,6.1,13,169
0500000US13171,65.6,11696,17837,13171,"Lamar County, Georgia",7.4,10.9,13.6,13,171
0500000US13173,68.7,6462,9404,13173,"Lanier County, Georgia",4.5,5.0,6.2,13,173
0500000US13175,60.2,28917,48034,13175,"Laurens County, Georgia",3.7,4.7,5.1,13,175
0500000US13177,76.6,21445,27998,13177,"Lee County, Georgia",5.2,5.2,6.3,13,177
0500000US13179,43.2,27578,63854,13179,"Liberty County, Georgia",8.7,10.4,11.3,13,179
0500000US13181,65.2,5289,8111,13181,"Lincoln County, Georgia",6.6,11.0,11.2,13,181
0500000US13183,60.1,7897,13142,13183,"Long County, Georgia",10.2,7.2,8.3,13,183
0500000US13185,56.9,59660,104916,13185,"Lowndes County, Georgia",6.1,8.4,9.3,13,185
0500000US13187,91.7,26468,28875,13187,"Lumpkin County, Georgia",8.9,7.8,9.2,13,187
0500000US13189,56.9,12351,21719,13189,"McDuffie County, Georgia",6.7,7.7,8.6,13,189
0500000US13191,60.6,8379,13817,13191,"McIntosh County, Georgia",2.3,6.1,8.1,13,191
0500000US13193,32.8,4780,14553,13193,"Macon County, Georgia",4.7,7.1,7.8,13,193
0500000US13195,86.5,24046,27798,13195,"Madison County, Georgia",6.0,6.9,7.1,13,195
0500000US13197,57.4,4824,8403,13197,"Marion County, Georgia",9.4,11.2,11.4,13,197
0500000US13199,56.7,12722,22425,13199,"Meriwether County, Georgia",7.5,10.8,11.0,13,199
0500000US13201,69.3,4246,6128,13201,"Miller County, Georgia",1.8,6.6,5.8,13,201
0500000US13205,46.6,11031,23697,13205,"Mitchell County, Georgia",5.0,8.0,8.2,13,205
0500000US13207,71.6,18511,25864,13207,"Monroe County, Georgia",3.3,5.6,5.4,13,207
0500000US13209,67.4,6163,9138,13209,"Montgomery County, Georgia",4.8,4.1,4.3,13,209
0500000US13211,71.2,12629,17741,13211,"Morgan County, Georgia",5.8,8.2,8.5,13,211
0500000US13213,85.2,34020,39925,13213,"Murray County, Georgia",10.2,9.1,9.8,13,213
0500000US13215,44.6,83762,187629,13215,"Muscogee County, Georgia",5.7,8.2,9.1,13,215
0500000US13217,54.4,52663,96833,13217,"Newton County, Georgia",8.0,9.9,11.1,13,217
0500000US13219,86.8,27361,31508,13219,"Oconee County, Georgia",4.7,4.7,5.4,13,219
0500000US13221,77.0,11207,14556,13221,"Oglethorpe County, Georgia",6.1,5.4,6.6,13,221
0500000US13223,76.1,102655,134875,13223,"Paulding County, Georgia",8.7,7.8,9.2,13,223
0500000US13225,46.0,12377,26883,13225,"Peach County, Georgia",8.4,9.3,11.7,13,225
0500000US13227,94.4,27521,29155,13227,"Pickens County, Georgia",8.8,8.8,9.0,13,227
0500000US13229,85.0,15479,18205,13229,"Pierce County, Georgia",3.3,3.4,3.9,13,229
0500000US13231,86.0,14965,17411,13231,"Pike County, Georgia",6.4,6.8,7.9,13,231
0500000US13233,74.2,30511,41095,13233,"Polk County, Georgia",8.2,9.9,10.7,13,233
0500000US13235,66.0,7677,11632,13235,"Pulaski County, Georgia",5.3,9.7,11.9,13,235
0500000US13237,66.2,13856,20925,13237,"Putnam County, Georgia",7.0,6.6,8.1,13,237
0500000US13239,42.8,1083,2528,13239,"Quitman County, Georgia",11.1,11.7,11.5,13,239
0500000US13241,89.4,14537,16266,13241,"Rabun County, Georgia",9.0,8.6,9.2,13,241
0500000US13243,35.9,2772,7724,13243,"Randolph County, Georgia",5.6,15.1,15.4,13,243
0500000US13245,38.6,76588,198170,13245,"Richmond County, Georgia",7.1,10.4,11.0,13,245
0500000US13247,44.8,37238,83135,13247,"Rockdale County, Georgia",10.6,10.9,12.1,13,247
0500000US13249,66.3,3153,4755,13249,"Schley County, Georgia",4.0,3.9,4.5,13,249
0500000US13251,53.7,7948,14799,13251,"Screven County, Georgia",9.6,13.9,14.8,13,251
0500000US13253,62.7,5518,8797,13253,"Seminole County, Georgia",5.4,12.1,11.9,13,253
0500000US13255,61.5,38903,63304,13255,"Spalding County, Georgia",8.3,10.4,11.9,13,255
0500000US13257,84.1,21759,25876,13257,"Stephens County, Georgia",9.3,7.7,9.8,13,257
0500000US13259,35.9,2093,5831,13259,"Stewart County, Georgia",3.2,8.0,7.9,13,259
0500000US13261,41.4,13622,32865,13261,"Sumter County, Georgia",6.7,10.3,12.6,13,261
0500000US13263,38.1,2637,6920,13263,"Talbot County, Georgia",7.8,14.2,16.2,13,263
0500000US13265,39.0,797,2041,13265,"Taliaferro County, Georgia",9.6,14.0,15.4,13,265
0500000US13267,60.0,14557,24263,13267,"Tattnall County, Georgia",8.5,9.2,8.6,13,267
0500000US13269,57.2,5075,8875,13269,"Taylor County, Georgia",4.5,4.6,5.2,13,269
0500000US13271,51.1,8208,16052,13271,"Telfair County, Georgia",1.5,3.5,3.4,13,271
0500000US13273,35.6,3436,9647,13273,"Terrell County, Georgia",7.0,16.6,17.2,13,273
0500000US13275,58.5,26007,44451,13275,"Thomas County, Georgia",6.5,8.9,10.2,13,275
0500000US13277,59.1,23524,39823,13277,"Tift County, Georgia",5.7,7.7,8.6,13,277
0500000US13279,61.5,16692,27151,13279,"Toombs County, Georgia",5.2,4.5,5.1,13,279
0500000US13281,96.5,10064,10430,13281,"Towns County, Georgia",6.0,5.5,6.3,13,281
0500000US13283,64.8,4431,6835,13283,"Treutlen County, Georgia",4.0,7.0,6.7,13,283
0500000US13285,61.1,40129,65652,13285,"Troup County, Georgia",8.3,9.0,10.0,13,285
0500000US13287,54.7,4934,9025,13287,"Turner County, Georgia",6.7,10.2,10.2,13,287
0500000US13289,55.9,5244,9385,13289,"Twiggs County, Georgia",10.8,12.3,12.5,13,289
0500000US13291,95.3,20102,21083,13291,"Union County, Georgia",9.2,9.2,9.1,13,291
0500000US13293,68.5,18702,27308,13293,"Upson County, Georgia",11.7,13.4,14.1,13,293
0500000US13295,92.2,62536,67845,13295,"Walker County, Georgia",10.2,10.0,10.8,13,295
